	locus	organisms	total_links	intergenus_links	average_links	proportion_intergenus	intergenus_plasmids	proportion_intergenus_plasmids
0	8	Acaryochloris	48	0	6.0	0.0	0.0	0.0
1	34	Acetobacter	3232	146	95.05882352941177	0.04517326732673267	22.0	0.6470588235294118
2	5	Achromobacter	788	784	157.6	0.9949238578680203	5.0	1.0
3	10	Acidiphilium	124	0	12.4	0.0	0.0	0.0
4	3	Acidipropionibacterium	6	0	2.0	0.0	0.0	0.0
5	3	Acidithiobacillus	24	0	8.0	0.0	0.0	0.0
6	3	Acidovorax	250	250	83.33333333333333	1.0	3.0	1.0
7	110	Acinetobacter	20563	19451	186.93636363636364	0.9459222876039488	41.0	0.37272727272727274
8	19	Actinobacillus	2057	1951	108.26315789473684	0.9484686436558094	19.0	1.0
9	28	Aeromonas	36461	36199	1302.1785714285713	0.9928142398727408	14.0	0.5
10	7	Agrobacterium	462	448	66.0	0.9696969696969697	3.0	0.42857142857142855
11	1	Alcaligenes	785	785	785.0	1.0	1.0	1.0
12	2	Alicycliphilus	395	395	197.5	1.0	2.0	1.0
13	1	Aliivibrio	4	4	4.0	1.0	1.0	1.0
14	6	Alteromonas	14	2	2.3333333333333335	0.14285714285714285	1.0	0.16666666666666666
15	2	Anabaena	2	0	1.0	0.0	0.0	0.0
16	2	Anoxybacillus	2	0	1.0	0.0	0.0	0.0
17	2	Archaeoglobus	2	0	1.0	0.0	0.0	0.0
18	9	Arthrobacter	75	63	8.333333333333334	0.84	1.0	0.1111111111111111
19	2	Aureimonas	2	0	1.0	0.0	0.0	0.0
20	1	Avibacterium	14	14	14.0	1.0	1.0	1.0
21	17	Azospirillum	206	0	12.117647058823529	0.0	0.0	0.0
22	4	Azotobacter	8	0	2.0	0.0	0.0	0.0
23	291	Bacillus	12025	187	41.32302405498282	0.01555093555093555	12.0	0.041237113402061855
24	2	Bartonella	2	0	1.0	0.0	0.0	0.0
25	1	Bhargavaea	2	2	2.0	1.0	1.0	1.0
26	1	Bibersteinia	1439	1439	1439.0	1.0	1.0	1.0
27	4	Bifidobacterium	4	0	1.0	0.0	0.0	0.0
28	1	Bordetella	2	2	2.0	1.0	1.0	1.0
29	49	Borrelia	76	18	1.5510204081632653	0.23684210526315788	2.0	0.04081632653061224
30	5	Borreliella	6	2	1.2	0.3333333333333333	1.0	0.2
