locus	Genus	Species
NC_006130	Streptococcus	pyogenes
NC_004464	Citrobacter	freundii
NC_006427	Enterococcus	faecium
NC_001370	Lactobacillus	plantarum
NC_002810	Streptococcus	mutans
NC_004965	Sinorhizobium	meliloti
NC_000906	Lactococcus	lactis
NC_005010	Enterococcus	faecalis
NC_004562	Staphylococcus	aureus
NC_002637	Mannheimia	haemolytica
NC_005565	Staphylococcus	aureus
NC_006976	Mannheimia	haemolytica
NC_002092	Xylella	fastidiosa
NC_002130	Riemerella	anatipestifer
NC_006997	Bifidobacterium	longum
NC_005923	Escherichia	coli
NC_005324	Escherichia	coli
NC_004958	Streptococcus	thermophilus
NC_006994	Pasteurella	multocida
NC_002487	Escherichia	coli
NC_004652	Lactococcus	lactis
NC_002119	Escherichia	coli
NC_001537	Escherichia	coli
NC_004944	Lactobacillus	plantarum
NC_005098	Streptococcus	thermophilus
NC_005322	Streptococcus	thermophilus
NC_006278	Lactobacillus	plantarum
NC_002145	Escherichia	coli
NC_005019	Escherichia	coli
NC_000937	Streptococcus	thermophilus
NC_000938	Streptococcus	thermophilus
NC_001949	Lactococcus	lactis
NC_004960	Lactococcus	lactis
NC_003893	Lactobacillus	plantarum
NC_003894	Lactobacillus	plantarum
NC_009034	Bacillus	thuringiensis
NC_009353	Magnetospirillum	gryphiswaldense
NC_009739	Pseudomonas	aeruginosa
NC_005327	Escherichia	coli
NC_003350	Pseudomonas	putida
NC_004999	Pseudomonas	putida
NC_007365	Escherichia	coli
NC_005249	Klebsiella	pneumoniae
NC_006323	Yersinia	pestis
NC_008275	Pseudomonas	putida
NC_002525	Escherichia	coli
NC_005211	Serratia	marcescens
NC_005205	Pseudomonas	syringae
NC_004564	Yersinia	enterocolitica
NC_005024	Staphylococcus	aureus
NC_005250	Vibrio	anguillarum
NC_008357	Pseudomonas	aeruginosa
NC_006671	Escherichia	coli
NC_008460	Escherichia	coli
NC_008490	Escherichia	coli
NC_008613	Photobacterium	damselae
NC_006277	Agrobacterium	tumefaciens
NC_002377	Agrobacterium	tumefaciens
NC_001911	Buchnera	aphidicola
NC_009139	Yersinia	ruckeri
NC_009435	Lactococcus	lactis
NC_004998	Escherichia	coli
NC_007675	Escherichia	coli
NC_009602	Escherichia	coli
NC_010076	Bacillus	thuringiensis
NC_010111	Staphylococcus	aureus
NC_007772	Clostridium	perfringens
NC_006828	[Haemophilus]	parasuis
NC_006829	[Haemophilus]	parasuis
NC_007928	Staphylococcus	aureus
NC_007931	Staphylococcus	aureus
NC_005018	Klebsiella	pneumoniae
NC_002144	Yersinia	pestis
NC_002096	Staphylococcus	aureus
NC_005020	Staphylococcus	aureus
NC_002635	Bifidobacterium	longum
NC_006843	Bifidobacterium	longum
NC_001767	Staphylococcus	aureus
NC_005015	Klebsiella	pneumoniae
NC_005567	Bacillus	thuringiensis
NC_001277	Pediococcus	pentosaceus
NC_007100	Pseudomonas	aeruginosa
NC_008356	Staphylococcus	epidermidis
NC_008487	Escherichia	coli
NC_008488	Escherichia	coli
NC_008489	Escherichia	coli
NC_004981	Lactococcus	lactis
NC_008597	Escherichia	coli
NC_004988	Borrelia	burgdorferi
NC_005243	Staphylococcus	aureus
NC_005564	Staphylococcus	aureus
NC_002757	Streptococcus	mutans
NC_005000	Enterococcus	faecium
NC_002013	Staphylococcus	aureus
NC_008768	Enterococcus	faecium
NC_010113	Vibrio	sp.
NC_010114	Vibrio	sp.
NC_010177	Acetobacter	pasteurianus
NC_003265	Staphylococcus	aureus
NC_010230	Streptococcus	pyogenes
NC_010262	Staphylococcus	aureus
NC_010260	Streptococcus	dysgalactiae
NC_010330	Enterococcus	faecium
NC_007190	Thermus	thermophilus
NC_004429	Escherichia	coli
NC_007203	Bacillus	thuringiensis
NC_002773	Shigella	flexneri
NC_010378	Escherichia	coli
NC_010409	Escherichia	coli
NC_010481	Acinetobacter	baumannii
NC_010426	Staphylococcus	aureus
NC_010427	Staphylococcus	aureus
NC_009781	Escherichia	coli
NC_002147	Agrobacterium	tumefaciens
NC_010021	Zymomonas	mobilis
NC_010077	Staphylococcus	aureus
NC_010099	Burkholderia	cepacia
NC_003099	Oenococcus	oeni
NC_008821	Enterococcus	faecium
NC_001399	Ralstonia	solanacearum
NC_005570	Yersinia	enterocolitica
NC_006868	Pasteurella	multocida
NC_006904	Oenococcus	oeni
NC_001272	Bacillus	thuringiensis
NC_006399	Lactobacillus	plantarum
NC_010616	Staphylococcus	aureus
NC_010684	Staphylococcus	aureus
NC_010685	Staphylococcus	aureus
NC_010686	Staphylococcus	aureus
NC_010687	Staphylococcus	aureus
NC_010726	Klebsiella	pneumoniae
NC_007635	Escherichia	coli
NC_004959	Lactococcus	lactis
NC_001774	Pasteurella	multocida
NC_010851	Streptomyces	sp.
NC_010857	Bifidobacterium	longum
NC_010861	Bifidobacterium	longum
NC_010862	Escherichia	coli
NC_010870	Klebsiella	pneumoniae
NC_010885	Escherichia	coli
NC_010886	Klebsiella	pneumoniae
NC_010898	Escherichia	coli
NC_010913	Lactobacillus	paracasei
NC_010919	Aeromonas	hydrophila
NC_010929	Agrobacterium	tumefaciens
NC_010937	Clostridium	perfringens
NC_010980	Enterococcus	faecium
NC_011101	Lactobacillus	plantarum
