locus	character
NC_004464	mosaic
NC_002637	mosaic
NC_006976	mosaic
NC_006997	mosaic
NC_005923	mosaic
NC_005324	mosaic
NC_006994	mosaic
NC_001949	mosaic
NC_003894	mosaic
NC_009739	mosaic
NC_005327	mosaic
NC_003350	mosaic
NC_004999	mosaic
NC_007365	mosaic
NC_005249	mosaic
NC_006323	mosaic
NC_008275	mosaic
NC_002525	mosaic
NC_005211	mosaic
NC_005205	mosaic
NC_004564	mosaic
NC_005024	mosaic
NC_005250	mosaic
NC_008357	mosaic
NC_006671	mosaic
NC_008460	mosaic
NC_008490	mosaic
NC_008613	mosaic
NC_006277	mosaic
NC_002377	mosaic
NC_009139	mosaic
NC_009435	mosaic
NC_004998	mosaic
NC_007675	mosaic
NC_009602	mosaic
NC_010076	mosaic
NC_006828	mosaic
NC_007928	mosaic
NC_001767	mosaic
NC_005567	mosaic
NC_007100	mosaic
NC_008597	mosaic
NC_005243	mosaic
NC_005564	mosaic
NC_005000	mosaic
NC_008768	mosaic
NC_010262	mosaic
NC_004429	mosaic
NC_010378	mosaic
NC_010409	mosaic
NC_010481	mosaic
NC_010426	mosaic
NC_010427	mosaic
NC_009781	mosaic
NC_010077	mosaic
NC_008821	mosaic
NC_001272	mosaic
NC_010684	mosaic
NC_010685	mosaic
NC_010686	mosaic
NC_010687	mosaic
NC_010726	mosaic
NC_007635	mosaic
NC_001774	mosaic
NC_010862	mosaic
NC_010870	mosaic
NC_010885	mosaic
NC_010886	mosaic
NC_010919	mosaic
NC_010980	mosaic
NC_011136	mosaic
NC_011140	mosaic
NC_011364	mosaic
NC_011378	mosaic
NC_005013	mosaic
NC_002120	mosaic
NC_011497	mosaic
NC_011521	mosaic
NC_011617	mosaic
NC_011642	mosaic
NC_011752	mosaic
NC_011754	mosaic
NC_011812	mosaic
NC_011964	mosaic
NC_012215	mosaic
NC_012216	mosaic
NC_012487	mosaic
NC_012547	mosaic
NC_012556	mosaic
NC_012625	mosaic
NC_012626	mosaic
NC_012627	mosaic
NC_012630	mosaic
NC_012631	mosaic
NC_012690	mosaic
NC_012692	mosaic
NC_012885	mosaic
NC_006877	mosaic
NC_005566	mosaic
NC_010286	mosaic
NC_012944	mosaic
NC_013175	mosaic
NC_004846	mosaic
NC_006881	mosaic
NC_008612	mosaic
NC_011641	mosaic
NC_011796	mosaic
NC_012886	mosaic
NC_007209	mosaic
NC_005323	mosaic
NC_005248	mosaic
NC_009841	mosaic
NC_010419	mosaic
NC_010901	mosaic
NC_011383	mosaic
NC_011385	mosaic
NC_002630	mosaic
NC_013120	mosaic
NC_013122	mosaic
NC_013176	mosaic
NC_013277	mosaic
NC_013503	mosaic
NC_013507	mosaic
NC_013542	mosaic
NC_013544	mosaic
NC_013545	mosaic
NC_013550	mosaic
NC_013653	mosaic
NC_013728	mosaic
NC_013782	mosaic
NC_013950	mosaic
NC_014016	mosaic
NC_014124	mosaic
NC_014156	mosaic
NC_014208	mosaic
NC_014234	mosaic
NC_014312	mosaic
NC_014356	mosaic
NC_014368	mosaic
NC_014382	mosaic
NC_014383	mosaic
NC_014385	mosaic
NC_014475	mosaic
NC_014477	mosaic
NC_014615	mosaic
NC_014235	mosaic
NC_014726	mosaic
NC_014813	mosaic
NC_014843	mosaic
NC_015055	mosaic
NC_015154	mosaic
NC_015256	mosaic
NC_015472	mosaic
NC_015599	mosaic
NC_007682	mosaic
NC_010064	mosaic
NC_010261	mosaic
NC_010377	mosaic
NC_014508	mosaic
NC_015056	mosaic
NC_006903	mosaic
NC_011227	mosaic
NC_012220	mosaic
NC_001763	mosaic
NC_004334	mosaic
NC_011409	mosaic
NC_012555	mosaic
NC_014233	mosaic
NC_015068	mosaic
NC_015872	mosaic
NC_015901	mosaic
NC_009137	mosaic
NC_011382	mosaic
NC_006979	mosaic
NC_013121	mosaic
NC_014369	mosaic
NC_014959	mosaic
NC_015054	mosaic
NC_004771	mosaic
NC_011795	mosaic
NC_015950	mosaic
NC_016009	mosaic
NC_016039	mosaic
NC_016643	mosaic
NC_016966	mosaic
NC_016973	mosaic
NC_016974	mosaic
NC_016980	mosaic
NC_016976	mosaic
NC_017213	mosaic
NC_017197	mosaic
NC_005705	mosaic
NC_004058	mosaic
NC_004769	mosaic
NC_008445	mosaic
NC_002798	mosaic
NC_002150	mosaic
NC_005017	mosaic
NC_005088	mosaic
NC_013506	mosaic
NC_016967	mosaic
NC_017908	mosaic
NC_010257	mosaic
NC_005054	mosaic
NC_005127	mosaic
NC_013514	mosaic
NC_002138	mosaic
NC_017498	mosaic
NC_013551	mosaic
NC_002108	mosaic
NC_001372	mosaic
NC_013319	mosaic
NC_013320	mosaic
NC_013289	mosaic
NC_013372	mosaic
NC_013387	mosaic
NC_018952	mosaic
NC_013338	mosaic
NC_013339	mosaic
NC_013309	mosaic
NC_013311	mosaic
NC_013375	mosaic
NC_013351	mosaic
NC_013352	mosaic
NC_013314	mosaic
NC_013322	mosaic
NC_013326	mosaic
NC_018972	mosaic
NC_013374	mosaic
NC_013336	mosaic
NC_013303	mosaic
NC_013304	mosaic
NC_013343	mosaic
NC_013317	mosaic
NC_013347	mosaic
NC_013348	mosaic
NC_018993	mosaic
NC_018994	mosaic
NC_018995	mosaic
NC_019000	mosaic
NC_013331	mosaic
NC_013394	mosaic
NC_013318	mosaic
NC_013324	mosaic
NC_013327	mosaic
NC_013335	mosaic
NC_013337	mosaic
NC_013302	mosaic
NC_019011	mosaic
NC_013325	mosaic
NC_013377	mosaic
NC_013382	mosaic
NC_013294	mosaic
NC_013295	mosaic
NC_013296	mosaic
NC_013298	mosaic
NC_013332	mosaic
NC_013306	mosaic
NC_019007	mosaic
NC_013297	mosaic
NC_019010	mosaic
NC_013321	mosaic
NC_013291	mosaic
NC_013328	mosaic
NC_013393	mosaic
NC_013383	mosaic
NC_018965	mosaic
NC_013305	mosaic
NC_013307	mosaic
NC_013346	mosaic
NC_013308	mosaic
NC_013312	mosaic
NC_013292	mosaic
NC_013299	mosaic
NC_013301	mosaic
NC_013340	mosaic
NC_019009	mosaic
NC_013342	mosaic
NC_013344	mosaic
NC_018998	mosaic
NC_013300	mosaic
NC_013395	mosaic
NC_019033	mosaic
NC_019040	mosaic
NC_019041	mosaic
NC_019037	mosaic
NC_019039	mosaic
NC_019044	mosaic
NC_019043	mosaic
NC_019053	mosaic
NC_019054	mosaic
NC_019060	mosaic
NC_019061	mosaic
NC_019070	mosaic
NC_019080	mosaic
NC_019081	mosaic
NC_019082	mosaic
NC_019085	mosaic
NC_019086	mosaic
NC_019087	mosaic
NC_019088	mosaic
NC_011514	mosaic
NC_019013	mosaic
NC_019062	mosaic
NC_019065	mosaic
NC_019066	mosaic
NC_019067	mosaic
NC_019069	mosaic
NC_019071	mosaic
NC_019072	mosaic
NC_019073	mosaic
NC_019074	mosaic
NC_019079	mosaic
NC_009131	mosaic
NC_019093	mosaic
NC_019095	mosaic
NC_019096	mosaic
NC_019097	mosaic
NC_019056	mosaic
NC_019057	mosaic
NC_019058	mosaic
NC_019063	mosaic
NC_019084	mosaic
NC_009132	mosaic
NC_019139	mosaic
NC_019140	mosaic
NC_019142	mosaic
NC_019143	mosaic
NC_019144	mosaic
NC_019148	mosaic
NC_019150	mosaic
NC_018956	mosaic
NC_018957	mosaic
NC_018958	mosaic
NC_018963	mosaic
NC_018969	mosaic
NC_018974	mosaic
NC_018975	mosaic
NC_018953	mosaic
NC_019151	mosaic
NC_019152	mosaic
NC_011511	mosaic
NC_019153	mosaic
NC_019154	mosaic
NC_019155	mosaic
NC_011512	mosaic
NC_019159	mosaic
NC_019162	mosaic
NC_019163	mosaic
NC_019165	mosaic
NC_018959	mosaic
NC_018960	mosaic
NC_018961	mosaic
NC_018976	mosaic
NC_019156	mosaic
NC_019157	mosaic
NC_019158	mosaic
NC_019160	mosaic
NC_019167	mosaic
NC_019168	mosaic
NC_019169	mosaic
NC_019170	mosaic
NC_019171	mosaic
NC_019177	mosaic
NC_019178	mosaic
NC_019186	mosaic
NC_019175	mosaic
NC_019176	mosaic
NC_019197	mosaic
NC_019199	mosaic
NC_019205	mosaic
NC_019213	mosaic
NC_019214	mosaic
NC_019217	mosaic
NC_019221	mosaic
NC_019228	mosaic
NC_019230	mosaic
NC_019234	mosaic
NC_019235	mosaic
NC_011513	mosaic
NC_019252	mosaic
NC_019254	mosaic
NC_019256	mosaic
NC_019257	mosaic
NC_019260	mosaic
NC_019261	mosaic
NC_019263	mosaic
NC_019264	mosaic
NC_019267	mosaic
NC_019268	mosaic
NC_019269	mosaic
NC_019270	mosaic
NC_019279	mosaic
NC_019280	mosaic
NC_019281	mosaic
NC_019283	mosaic
NC_016140	mosaic
NC_019299	mosaic
NC_019300	mosaic
NC_019331	mosaic
NC_019332	mosaic
NC_019334	mosaic
NC_019345	mosaic
NC_019346	mosaic
NC_019350	mosaic
NC_019354	mosaic
NC_019355	mosaic
NC_019368	mosaic
NC_019370	mosaic
NC_019374	mosaic
NC_019375	mosaic
NC_019376	mosaic
NC_019378	mosaic
NC_019284	mosaic
NC_019286	mosaic
NC_019180	mosaic
NC_019183	mosaic
NC_019184	mosaic
NC_019185	mosaic
