locus	CDS
NC_006130	3
NC_004464	104
NC_006427	2
NC_001370	1
NC_002810	4
NC_004965	8
NC_000906	7
NC_005010	9
NC_004562	2
NC_002637	7
NC_005565	1
NC_006976	4
NC_002092	3
NC_002130	3
NC_006997	2
NC_005923	4
NC_005324	8
NC_004958	4
NC_006994	5
NC_002487	7
NC_004652	5
NC_002119	8
NC_001537	2
NC_004944	9
NC_005098	5
NC_005322	6
NC_006278	10
NC_002145	1
NC_005019	7
NC_000937	5
NC_000938	2
NC_001949	63
NC_004960	7
NC_003893	1
NC_003894	9
NC_009034	7
NC_009353	38
NC_009739	29
NC_005327	100
NC_003350	139
NC_004999	90
NC_007365	155
NC_005249	251
NC_006323	146
NC_008275	86
NC_002525	91
NC_005211	290
NC_005205	55
NC_004564	73
NC_005024	44
NC_005250	57
NC_008357	97
NC_006671	119
NC_008460	163
NC_008490	5
NC_008613	161
NC_006277	36
NC_002377	157
NC_001911	7
NC_009139	185
NC_009435	63
NC_004998	141
NC_007675	209
NC_009602	96
NC_010076	113
NC_010111	3
NC_007772	60
NC_006828	4
NC_006829	7
NC_007928	2
NC_007931	21
NC_005018	2
NC_002144	12
NC_002096	3
NC_005020	1
NC_002635	3
NC_006843	4
NC_001767	3
NC_005015	5
NC_005567	11
NC_001277	24
NC_007100	51
NC_008356	2
NC_008487	2
NC_008488	8
NC_008489	4
NC_004981	2
NC_008597	9
NC_004988	14
NC_005243	5
NC_005564	4
NC_002757	5
NC_005000	32
NC_002013	4
NC_008768	43
NC_010113	95
NC_010114	32
NC_010177	3
NC_003265	50
NC_010230	3
NC_010262	3
NC_010260	4
NC_010330	8
NC_007190	15
NC_004429	8
NC_007203	12
NC_002773	2
NC_010378	68
NC_010409	150
NC_010481	26
NC_010426	2
NC_010427	2
NC_009781	3
NC_002147	195
NC_010021	2
NC_010077	52
NC_010099	1
NC_003099	3
NC_008821	41
NC_001399	15
NC_005570	1
NC_006868	5
NC_006904	3
NC_001272	2
NC_006399	4
NC_010616	3
NC_010684	2
NC_010685	2
NC_010686	2
NC_010687	2
NC_010726	41
NC_007635	94
NC_004959	11
NC_001774	5
NC_010851	59
NC_010857	3
NC_010861	2
NC_010862	100
NC_010870	310
NC_010885	2
NC_010886	90
NC_010898	6
NC_010913	4
NC_010919	50
NC_010929	223
NC_010937	51
NC_010980	64
NC_011101	25
NC_011102	2
NC_011136	2
NC_011139	4
NC_011140	28
NC_011207	6
NC_011228	5
NC_011363	1
NC_011364	72
NC_011378	9
NC_005013	9
NC_002517	20
NC_002120	69
NC_001431	3
NC_011405	2
NC_011406	2
NC_011418	4
NC_011497	1
NC_006977	4
NC_011521	2
NC_011605	3
NC_011610	4
NC_011617	64
NC_011640	5
NC_011642	113
NC_011752	103
NC_011754	138
NC_011799	6
NC_011812	101
NC_011964	126
NC_012006	6
NC_012031	9
NC_012208	6
NC_012209	14
NC_012215	5
NC_012216	4
NC_012222	15
NC_012487	195
NC_012547	53
NC_012556	313
NC_012625	8
NC_012626	8
NC_012627	8
NC_012628	5
NC_012630	8
NC_012631	8
NC_012661	5
NC_012690	173
NC_012692	189
NC_012882	5
NC_012885	158
NC_003526	1
NC_006877	11
NC_005566	11
NC_006827	57
NC_005792	8
NC_002518	4
NC_010286	8
NC_010283	69
NC_010279	17
NC_010284	3
NC_010722	1
NC_007926	84
NC_012944	119
NC_013175	117
NC_002192	4
NC_002610	5
NC_004846	33
NC_004968	3
NC_006881	7
NC_008443	11
NC_008612	187
NC_011641	75
NC_011796	9
NC_012886	70
NC_002129	4
NC_002111	4
NC_007207	2
NC_007209	3
NC_004940	5
NC_004747	4
NC_005323	5
NC_005248	3
NC_009841	73
NC_004768	8
NC_004978	3
NC_010428	2
NC_010419	44
NC_010423	3
NC_010796	5
NC_010880	34
NC_010881	3
NC_010883	5
NC_010901	62
NC_010904	3
NC_011383	87
NC_011385	92
NC_002630	49
NC_013120	95
NC_013122	141
NC_013176	70
NC_013277	9
NC_013503	58
NC_013507	99
NC_013533	89
NC_013541	1
NC_013542	95
NC_013543	23
NC_013544	9
NC_013545	160
NC_013549	5
NC_013550	14
NC_013589	3
NC_013652	1
NC_013653	42
NC_013728	110
NC_013780	2
NC_013782	1
NC_013783	2
NC_013789	7
NC_013950	115
NC_013969	2
NC_014016	121
NC_014105	48
NC_014111	33
NC_014113	30
NC_014124	112
NC_014156	4
NC_014208	70
NC_014234	73
NC_014312	156
NC_014356	8
NC_014367	2
NC_014368	83
NC_014382	53
NC_014383	31
NC_014385	126
NC_014475	40
NC_014477	100
NC_014478	7
NC_014496	88
NC_014615	168
NC_014627	2
NC_014235	8
NC_014726	98
NC_014813	4
NC_014843	119
NC_015055	26
NC_015154	80
NC_015171	5
NC_015175	4
NC_015256	16
NC_015432	45
NC_015472	28
NC_015599	61
NC_004843	2
NC_005246	67
NC_007682	60
NC_008259	10
NC_010064	2
NC_010261	6
NC_010282	14
NC_010377	232
NC_010859	5
NC_014508	29
NC_015056	116
NC_006903	6
NC_007594	60
NC_007773	73
NC_002776	4
NC_003969	3
NC_011227	3
NC_012220	1
NC_001763	2
NC_004334	3
NC_004653	5
NC_011409	62
NC_007206	34
NC_008486	1
NC_012555	309
NC_014233	52
NC_015068	51
NC_015849	5
NC_015860	7
NC_015861	20
NC_015863	22
NC_015864	26
NC_015862	47
NC_015872	40
NC_015900	21
NC_015901	19
NC_015902	41
NC_015912	14
NC_001446	2
NC_009137	15
NC_011266	1
NC_011382	24
NC_011522	13
NC_010098	2
NC_004971	31
NC_004163	6
NC_005247	25
NC_006979	35
NC_013121	79
NC_014369	28
NC_014959	41
NC_015054	44
NC_002123	1
NC_010907	5
NC_011073	8
NC_004771	6
NC_011795	6
NC_015950	9
NC_015972	31
NC_016009	28
NC_016039	97
NC_016053	43
NC_016600	43
NC_016643	35
NC_016849	4
NC_016852	14
NC_016151	7
NC_016966	219
NC_016973	5
NC_016974	148
NC_016977	3
NC_016979	6
NC_016980	180
NC_016976	202
NC_017213	2
NC_017197	2
NC_017489	10
NC_017478	40
NC_017772	18
NC_005705	10
NC_002799	3
NC_003101	7
NC_004058	34
NC_004772	5
NC_003201	3
NC_004769	3
NC_004770	4
NC_008444	1
NC_008436	3
NC_008445	57
NC_010290	3
NC_010291	2
NC_002798	9
NC_002150	7
NC_005017	66
NC_005088	69
NC_013506	7
NC_016042	7
NC_016967	63
NC_017908	61
NC_010257	38
NC_005054	57
NC_001995	2
NC_005127	25
NC_005908	5
NC_013514	32
NC_002138	3
NC_017498	13
NC_017500	61
NC_013551	14
NC_010281	11
NC_010895	13
NC_004443	2
NC_010112	63
NC_002108	2
NC_016601	55
NC_001372	8
NC_009444	474
NC_013128	58
NC_013319	32
NC_013320	57
NC_013289	36
NC_013372	55
NC_013387	42
NC_018952	43
NC_013338	55
NC_013339	50
NC_013309	3
NC_013311	3
NC_013375	3
NC_013350	3
NC_013351	36
NC_013352	29
NC_013314	3
NC_013388	9
NC_013322	29
NC_013373	78
NC_013323	44
NC_013326	42
NC_018972	34
NC_013329	51
NC_013374	46
NC_013336	4
NC_013303	25
NC_013304	25
NC_013343	49
NC_013317	27
NC_013347	27
NC_013348	59
NC_013349	22
NC_018979	42
NC_018980	25
NC_018989	13
NC_018990	17
NC_018991	26
NC_018992	10
NC_018993	19
NC_018994	224
NC_018995	131
NC_018996	9
NC_019000	140
NC_013331	36
NC_019003	42
NC_019004	42
NC_019006	42
NC_013390	7
NC_013394	6
NC_013384	9
NC_013371	12
NC_013318	35
NC_013324	35
NC_013327	47
NC_013335	30
NC_013337	41
NC_013302	2
NC_019011	3
NC_019018	85
NC_013325	49
NC_013377	36
NC_013378	18
NC_013380	12
NC_013381	39
NC_013382	16
NC_013389	26
NC_013294	36
NC_013295	5
NC_013296	34
NC_013298	37
NC_013332	43
NC_013333	25
NC_013334	48
NC_013306	5
NC_013330	28
NC_019007	34
NC_013297	5
NC_013310	1
NC_019010	32
NC_013376	2
NC_013321	40
NC_013290	25
NC_013291	2
NC_013328	31
NC_018977	4
NC_018978	30
NC_018981	42
NC_018988	10
NC_013379	41
NC_013393	26
NC_013383	25
NC_013313	25
NC_018997	15
NC_019005	42
NC_013391	6
NC_018965	43
NC_013341	15
NC_013305	2
NC_013307	3
NC_013345	4
NC_013346	3
NC_013308	5
NC_013312	3
NC_013292	30
NC_013293	25
NC_013299	30
NC_013301	27
NC_019008	33
NC_013340	42
NC_019009	43
NC_013342	53
NC_013344	49
NC_018982	24
NC_018983	26
NC_018984	41
NC_018986	18
NC_018987	24
NC_018998	112
NC_013392	1
NC_013300	5
NC_013395	3
NC_019033	47
NC_018985	6
NC_019040	7
NC_019041	0
NC_011917	122
NC_019037	105
NC_019039	86
NC_019044	93
NC_019043	115
NC_019053	1
NC_019054	6
NC_019059	1
NC_019060	9
NC_019061	104
NC_019070	7
NC_019080	4
NC_019081	10
NC_019082	45
NC_019083	45
NC_019085	1
NC_019086	1
NC_019087	49
NC_019088	42
NC_011514	11
NC_019092	14
NC_019013	60
NC_019062	30
NC_019065	148
NC_019066	172
NC_019067	50
NC_019068	2
NC_019069	187
NC_019071	98
NC_019072	98
NC_019073	100
NC_019074	5
NC_019075	4
NC_019076	8
NC_019077	4
NC_019079	7
NC_009131	0
NC_019093	64
NC_019094	125
NC_019095	84
NC_019096	40
NC_019097	130
NC_019056	11
NC_019057	97
NC_019058	1
NC_019063	96
NC_019084	1
NC_019078	10
NC_009132	71
NC_019139	2
NC_019140	2
NC_019141	3
NC_019142	3
NC_019143	2
NC_019144	5
NC_019145	6
NC_019146	2
NC_019147	6
NC_019148	22
NC_019149	5
NC_019150	38
NC_018956	36
NC_018957	38
NC_018958	5
NC_018963	37
NC_018967	43
NC_018968	40
NC_018969	3
NC_018974	39
NC_018975	5
NC_018953	7
NC_019151	6
NC_019152	14
NC_011511	5
NC_019153	137
NC_019154	72
NC_019155	108
NC_011512	6
NC_019159	12
NC_019162	52
NC_019163	52
NC_019165	116
NC_018959	39
NC_018960	5
NC_018961	36
NC_018976	34
NC_019156	16
NC_019157	41
NC_019158	165
NC_019160	7
NC_012088	7
NC_019167	6
NC_019168	6
NC_019169	6
NC_019170	4
NC_019171	4
NC_019172	3
NC_019177	4
NC_019178	4
NC_012089	5
NC_019186	3
NC_012090	3
NC_019173	3
NC_019175	4
NC_019176	4
NC_019187	7
NC_019188	7
NC_019197	165
NC_019198	1
NC_019199	11
NC_019201	8
NC_019202	105
NC_019203	5
NC_019204	6
NC_019205	4
NC_019209	4
NC_019210	1
NC_019213	40
NC_019214	5
NC_019217	54
NC_019219	4
NC_019220	3
NC_019221	6
NC_019222	4
NC_019223	9
NC_019225	1
NC_019228	2
NC_019229	64
NC_019230	4
NC_019231	2
NC_019232	2
NC_019234	72
NC_019235	9
NC_019238	6
NC_019239	6
NC_019240	9
NC_019241	0
NC_019242	4
NC_019246	5
NC_019247	5
NC_019249	3
NC_019250	2
NC_011513	6
NC_019252	3
NC_019253	9
NC_019254	70
NC_019256	44
NC_019257	83
NC_019258	5
NC_019259	52
NC_019260	6
NC_019261	10
NC_017494	8
NC_019263	84
NC_019264	64
NC_019267	10
NC_019268	46
NC_019269	8
NC_019270	4
NC_019271	4
NC_019273	7
NC_019274	33
NC_019279	1
NC_019280	8
NC_019281	44
NC_019283	79
NC_019295	2
NC_019296	9
NC_019297	4
NC_019298	6
NC_016140	2
NC_019299	53
NC_019300	2
NC_019301	2
NC_019302	1
NC_019303	9
NC_019304	9
NC_019307	129
NC_019325	6
NC_019326	52
NC_019327	32
NC_019329	15
NC_019330	73
NC_019331	112
NC_019332	104
NC_019334	52
NC_019335	104
NC_019336	101
NC_019337	42
NC_019339	113
NC_019342	180
NC_019343	102
NC_019345	7
NC_019346	68
NC_019347	4
NC_019348	6
NC_019349	11
NC_019350	11
NC_019351	23
NC_019354	13
NC_019355	14
NC_019356	12
NC_019357	8
NC_019362	32
NC_019363	5
NC_019364	110
NC_019365	10
NC_019366	15
NC_019367	27
NC_019368	98
NC_019370	3
NC_019373	3
NC_019374	5
NC_019375	205
NC_019376	39
NC_019377	44
NC_019378	60
NC_019019	2
NC_019284	41
NC_019285	13
NC_019286	7
NC_019287	2
NC_019288	5
NC_019289	4
NC_019290	5
NC_019291	18
NC_019180	4
NC_019181	3
NC_019183	3
NC_019184	4
NC_019185	3
NC_019215	0
NC_019233	4
NC_019369	89
NC_019316	9
NC_019218	54
NC_019243	6
NC_019244	5
NC_019245	5
NC_019251	1
NC_019262	5
NC_019361	16
NC_019328	105
NC_019353	3
NC_019338	98
NC_019380	146
NC_019381	16
NC_019174	4
NC_019341	65
NC_017767	89
NC_016137	2
NC_016139	3
NC_019211	1
NC_019224	6
NC_019227	2
NC_019248	29
NC_019344	111
NC_019385	5
NC_004444	198
NC_019182	4
NC_019333	4
NC_019360	262
NC_019384	51
NC_011838	199
NC_019389	124
NC_019390	168
NC_019533	5
NC_019553	18
NC_019554	26
NC_019534	16
NC_019535	4
NC_019536	6
NC_019557	8
NC_019558	9
NC_019669	3
NC_019687	73
NC_019688	82
NC_019784	2
NC_019785	2
NC_019786	2
NC_019787	2
NC_019794	2
NC_019795	2
NC_019796	2
NC_019797	2
NC_019788	2
NC_019883	13
NC_019884	16
NC_019885	16
NC_019886	11
NC_019887	16
NC_019888	80
NC_019889	93
NC_019899	54
NC_019980	3
NC_019981	5
NC_019982	7
NC_019986	4
NC_019987	2
NC_019989	3
NC_019990	3
NC_019992	1
NC_019988	6
NC_020088	67
NC_020091	3
NC_020121	40
NC_020183	6
NC_005026	2
NC_005009	3
NC_013951	196
NC_008594	5
NC_015956	10
NC_002098	1
NC_011404	5
NC_014384	117
NC_001371	23
NC_010372	23
NC_002650	2
NC_006909	33
NC_006134	50
NC_010858	4
NC_004997	4
NC_005012	53
NC_006135	49
NC_007141	44
NC_008052	3
NC_006975	3
NC_004845	6
NC_004949	15
NC_004950	15
NC_010884	11
NC_010932	9
NC_013547	13
NC_014162	1
NC_014163	1
NC_002109	4
NC_002143	0
NC_016968	76
NC_016978	85
NC_005240	38
NC_002575	173
NC_010841	146
NC_001275	2
NC_003374	3
NC_004458	1
NC_009966	57
NC_013056	6
NC_010893	28
NC_010900	33
NC_005325	4
NC_006968	0
NC_010855	1
NC_010867	3
NC_008459	46
NC_007093	7
NC_010643	40
NC_002809	3
NC_008439	6
NC_011759	100
NC_003123	7
NC_003124	7
NC_004338	4
NC_004339	7
NC_004340	6
NC_009352	16
NC_016611	4
NC_006143	92
NC_013178	7
NC_004982	5
NC_011403	9
NC_016850	37
NC_016853	83
NC_002088	0
NC_002473	10
NC_012859	3
NC_009701	71
NC_009702	69
NC_012758	4
NC_011797	6
NC_002579	36
NC_005245	7
NC_010912	4
NC_005329	8
NC_002664	1
NC_004345	1
NC_002118	37
NC_002131	34
NC_002059	2
NC_002002	4
NC_003091	5
NC_004974	7
NC_002636	7
NC_001520	2
NC_002139	2
NC_004984	1
NC_001974	0
NC_004832	9
NC_010864	16
NC_001758	1
NC_007770	2
NC_013033	4
NC_013944	49
NC_013945	26
NC_015176	3
NC_005076	14
NC_006974	3
NC_010626	4
NC_002140	6
NC_001797	5
NC_002136	6
NC_015971	4
NC_005021	3
NC_005022	3
NC_008350	7
NC_012642	5
NC_010540	20
NC_016970	8
NC_002094	4
NC_014104	7
NC_001496	142
NC_002146	84
NC_010924	235
NC_010934	0
NC_014757	65
NC_010853	9
NC_005308	8
NC_005311	11
NC_006959	2
NC_005703	1
NC_005704	2
NC_006870	14
NC_001858	6
NC_005242	23
NC_002062	3
NC_010420	61
NC_001765	5
NC_001766	8
NC_002075	13
NC_006825	7
NC_007956	5
NC_013537	5
NC_015148	108
NC_010875	4
NC_005328	15
NC_012550	7
NC_012551	48
NC_014919	2
NC_006257	1
NC_010242	2
NC_014619	5
NC_014620	13
NC_001670	5
NC_002191	4
NC_004849	5
NC_004850	5
NC_004937	7
NC_010909	6
NC_003528	5
NC_004532	4
NC_010603	14
NC_002148	1
NC_005206	8
NC_011332	3
NC_002133	3
NC_010930	5
NC_007068	3
NC_003239	3
NC_003227	27
NC_004833	1
NC_007101	10
NC_013777	8
NC_008318	18
NC_002093	3
NC_007621	3
NC_004308	2
NC_004734	16
NC_010600	45
NC_010847	17
NC_010920	4
NC_005913	11
NC_014653	172
NC_016983	234
NC_008441	10
NC_002175	3
NC_010429	7
NC_010933	0
NC_004852	38
NC_004977	1
NC_016045	1
NC_002095	6
NC_012219	122
NC_003458	15
NC_012549	2
NC_005001	15
NC_001385	2
NC_002611	6
NC_005016	7
NC_003846	8
NC_010011	8
NC_005909	29
NC_004939	39
NC_004938	2
NC_007167	7
NC_016049	6
NC_002061	2
NC_004956	104
NC_007800	15
NC_006400	18
NC_004951	1
NC_001772	1
NC_007593	3
NC_010523	27
NC_010938	2
NC_015255	29
NC_015257	20
NC_001425	9
NC_010872	16
NC_007184	27
NC_007186	23
NC_003114	6
NC_006571	16
NC_010915	2
NC_004160	2
NC_002117	10
NC_012890	4
NC_006493	52
NC_003411	5
NC_006830	100
NC_010615	3
NC_004969	1
NC_014164	4
NC_006528	1
NC_004811	4
NC_009476	16
NC_006988	3
NC_006989	3
NC_006466	177
NC_006525	114
NC_006826	4
NC_004341	2
NC_010078	1
NC_010914	1
