locus	IS26
NZ_CP019017.1	Present
NZ_CP019014.1	Present
NZ_CP018994.1	Present
NZ_CP018992.1	Present
NZ_CP018964.1	Present
NZ_CP018999.1	Present
NZ_CP018998.1	Present
NZ_CP018982.1	Present
NZ_CP018978.1	Present
NZ_CP018951.1	Present
NZ_CP018961.1	Present
NZ_CP018960.1	Present
NZ_CP019001.1	Present
NZ_CP018974.1	Present
NZ_CP018969.1	Present
NZ_CP018947.1	Present
NZ_CP019011.1	Present
NZ_CP019009.1	Present
NZ_CP018990.1	Present
NZ_CP018989.1	Present
NZ_CP018956.1	Present
NZ_CP018955.1	Present
NZ_CP018954.1	Present
NZ_CP015977.1	Present
NZ_CP019910.1	Present
NZ_CP019908.1	Present
NZ_CP019905.1	Present
NZ_CP019904.1	Present
NZ_CP018773.1	Present
NZ_CP019444.1	Present
NZ_CP019443.1	Present
NZ_CP016409.1	Present
NZ_CP016413.1	Present
NZ_CP016411.1	Present
NZ_CP016407.1	Present
NZ_CP016013.1	Present
NZ_CP019774.1	Present
NZ_CP019773.1	Present
NZ_CP016389.1	Present
NZ_CP016526.1	Present
NZ_CP012397.1	Present
NZ_CP015725.1	Present
NZ_CP014978.1	Present
NZ_CP014658.1	Present
NZ_CP009570.1	Present
NZ_CP012931.1	Present
NZ_CP009767.1	Present
NZ_CP012683.1	Present
NZ_CP012682.1	Present
NZ_CP011429.1	Present
NZ_CP009567.1	Present
NZ_CP009409.2	Present
NC_021811.1	Present
NC_021155.1	Present
NC_016861.1	Present
NC_011092.1	Present
NC_006856.1	Present
NC_009140.1	Present
NZ_CP019214.1	Present
NZ_CP017633.1	Present
NZ_CP017632.1	Present
NZ_CP017246.1	Present
NZ_CP010138.1	Present
NZ_CP010239.1	Present
NZ_CP010234.1	Present
NZ_CP010233.1	Present
NZ_CP010232.1	Present
NZ_CP010243.1	Present
NZ_CP010174.1	Present
NZ_CP010147.1	Present
NZ_CP010146.1	Present
NZ_CP010130.1	Present
NZ_CP010168.1	Present
NZ_CP010164.1	Present
NZ_CP018105.1	Present
NZ_CP018104.1	Present
NZ_CP018207.1	Present
NZ_CP018111.1	Present
NZ_CP018110.1	Present
NZ_CP018123.1	Present
NZ_CP018122.1	Present
NZ_CP018117.1	Present
NZ_CP018116.1	Present
NZ_LT632321.1	Present
NZ_CP008715.1	Present
NZ_CP015836.1	Present
NZ_CP016550.1	Present
NZ_CP016036.1	Present
NZ_CP016035.1	Present
NZ_CP015160.1	Present
NZ_CP015833.1	Present
NZ_CP015071.1	Present
NZ_CP015140.1	Present
NZ_CP015077.1	Present
NZ_CP011064.1	Present
NZ_CP011062.1	Present
NZ_CP012754.1	Present
NZ_CP014321.1	Present
NZ_CP014320.1	Present
NZ_LN824138.1	Present
NZ_LN824135.1	Present
NZ_CP011493.1	Present
NZ_CP014524.1	Present
NZ_CP014498.1	Present
NZ_CP014489.1	Present
NZ_CP013832.1	Present
NZ_CP013833.1	Present
NZ_CP013657.1	Present
NZ_CP013024.1	Present
NZ_CP012626.1	Present
NZ_CP012636.1	Present
NZ_CP006642.1	Present
NZ_HG941719.1	Present
