	locus	Genus	Species	environment	character	IS26	length	CDS	gene counts	Gene_proportion
1	NC_004464	Citrobacter	freundii		mosaic		89468.0	104.0	6.0	0.057692307692307696
26	NC_006278	Lactobacillus	plantarum		static		7222.0	10.0	0.0	0.0
31	NC_001949	Lactococcus	lactis		mosaic		60232.0	63.0	0.0	0.0
36	NC_009353	Magnetospirillum	gryphiswaldense		static		35803.0	38.0	0.0	0.0
37	NC_009739	Pseudomonas	aeruginosa		mosaic		24179.0	29.0	1.0	0.034482758620689655
38	NC_005327	Escherichia	coli		mosaic		92353.0	100.0	6.0	0.06
39	NC_003350	Pseudomonas	putida		mosaic		116580.0	139.0	0.0	0.0
40	NC_004999	Pseudomonas	putida		mosaic		83042.0	90.0	0.0	0.0
41	NC_007365	Escherichia	coli		mosaic		165548.0	155.0	1.0	0.0064516129032258064
42	NC_005249	Klebsiella	pneumoniae		mosaic		219385.0	251.0	1.0	0.00398406374501992
43	NC_006323	Yersinia	pestis		mosaic		137036.0	146.0	0.0	0.0
44	NC_008275	Pseudomonas	putida		mosaic		107929.0	86.0	0.0	0.0
45	NC_002525	Escherichia	coli		mosaic		75582.0	91.0	1.0	0.01098901098901099
46	NC_005211	Serratia	marcescens		mosaic		274762.0	290.0	3.0	0.010344827586206896
47	NC_005205	Pseudomonas	syringae		mosaic		72601.0	55.0	2.0	0.03636363636363636
48	NC_004564	Yersinia	enterocolitica		mosaic		66591.0	73.0	0.0	0.0
49	NC_005024	Staphylococcus	aureus		mosaic		46445.0	44.0	2.0	0.045454545454545456
50	NC_005250	Vibrio	anguillarum		mosaic		65009.0	57.0	0.0	0.0
51	NC_008357	Pseudomonas	aeruginosa		mosaic		89147.0	97.0	3.0	0.030927835051546393
52	NC_006671	Escherichia	coli		mosaic		101375.0	119.0	4.0	0.03361344537815126
53	NC_008460	Escherichia	coli		mosaic		120730.0	163.0	2.0	0.012269938650306749
55	NC_008613	Photobacterium	damselae		mosaic		131520.0	161.0	1.0	0.006211180124223602
56	NC_006277	Agrobacterium	tumefaciens		mosaic		44420.0	36.0	0.0	0.0
57	NC_002377	Agrobacterium	tumefaciens		mosaic		194140.0	157.0	0.0	0.0
59	NC_009139	Yersinia	ruckeri		mosaic		158038.0	185.0	3.0	0.016216216216216217
60	NC_009435	Lactococcus	lactis		mosaic		68319.0	63.0	0.0	0.0
61	NC_004998	Escherichia	coli		mosaic		125491.0	141.0	4.0	0.028368794326241134
62	NC_007675	Escherichia	coli		mosaic		184501.0	209.0	2.0	0.009569377990430622
63	NC_009602	Escherichia	coli		mosaic		121239.0	96.0	1.0	0.010416666666666666
64	NC_010076	Bacillus	thuringiensis		mosaic		127923.0	113.0	0.0	0.0
66	NC_007772	Clostridium	perfringens		static		70480.0	60.0	0.0	0.0
70	NC_007931	Staphylococcus	aureus		static		22787.0	21.0	2.0	0.09523809523809523
72	NC_002144	Yersinia	pestis		static		5919.0	12.0	0.0	0.0
79	NC_005567	Bacillus	thuringiensis		mosaic		11365.0	11.0	0.0	0.0
80	NC_001277	Pediococcus	pentosaceus		static		19515.0	24.0	0.0	0.0
81	NC_007100	Pseudomonas	aeruginosa		mosaic		57121.0	51.0	3.0	0.058823529411764705
88	NC_004988	Borrelia	burgdorferi		static		16933.0	14.0	0.0	0.0
92	NC_005000	Enterococcus	faecium		mosaic		24873.0	32.0	4.0	0.125
94	NC_008768	Enterococcus	faecium		mosaic		39626.0	43.0	7.0	0.16279069767441862
95	NC_010113	Vibrio	sp.		static		81413.0	95.0	0.0	0.0
96	NC_010114	Vibrio	sp.		static		31036.0	32.0	0.0	0.0
98	NC_003265	Staphylococcus	aureus		static		38211.0	50.0	0.0	0.0
103	NC_007190	Thermus	thermophilus		static		10402.0	15.0	0.0	0.0
105	NC_007203	Bacillus	thuringiensis		static		6909.0	12.0	0.0	0.0
107	NC_010378	Escherichia	coli		mosaic		51602.0	68.0	3.0	0.04411764705882353
108	NC_010409	Escherichia	coli		mosaic		151002.0	150.0	2.0	0.013333333333333334
109	NC_010481	Acinetobacter	baumannii		mosaic		29823.0	26.0	2.0	0.07692307692307693
113	NC_002147	Agrobacterium	tumefaciens		static		206479.0	195.0	0.0	0.0
115	NC_010077	Staphylococcus	aureus		mosaic		34986.0	52.0	0.0	0.0
118	NC_008821	Enterococcus	faecium		mosaic		39714.0	41.0	7.0	0.17073170731707318
119	NC_001399	Ralstonia	solanacearum		static		6633.0	15.0	0.0	0.0
130	NC_010726	Klebsiella	pneumoniae		mosaic		41723.0	41.0	7.0	0.17073170731707318
131	NC_007635	Escherichia	coli		mosaic		98396.0	94.0	1.0	0.010638297872340425
132	NC_004959	Lactococcus	lactis		static		10836.0	11.0	0.0	0.0
134	NC_010851	Streptomyces	sp.		static		54288.0	59.0	0.0	0.0
137	NC_010862	Escherichia	coli		mosaic		101558.0	100.0	1.0	0.01
138	NC_010870	Klebsiella	pneumoniae		mosaic		269674.0	310.0	4.0	0.012903225806451613
140	NC_010886	Klebsiella	pneumoniae		mosaic		98264.0	90.0	8.0	0.08888888888888889
143	NC_010919	Aeromonas	hydrophila		mosaic		45909.0	50.0	2.0	0.04
144	NC_010929	Agrobacterium	tumefaciens		static		244978.0	223.0	0.0	0.0
145	NC_010937	Clostridium	perfringens		static		47263.0	51.0	1.0	0.0196078431372549
146	NC_010980	Enterococcus	faecium		mosaic		63135.0	64.0	7.0	0.109375
147	NC_011101	Lactobacillus	plantarum		static		34522.0	25.0	0.0	0.0
151	NC_011140	Enterococcus	faecium		mosaic		34616.0	28.0	7.0	0.25
155	NC_011364	Enterococcus	faecium		mosaic		65029.0	72.0	1.0	0.013888888888888888
158	NC_002517	Staphylococcus	aureus		static		20719.0	20.0	1.0	0.05
159	NC_002120	Yersinia	enterocolitica		mosaic		69673.0	69.0	0.0	0.0
169	NC_011617	Klebsiella	pneumoniae		mosaic		67850.0	64.0	4.0	0.0625
171	NC_011642	Enterococcus	faecalis		mosaic		106527.0	113.0	7.0	0.061946902654867256
172	NC_011752	Escherichia	coli		mosaic		72482.0	103.0	0.0	0.0
173	NC_011754	Escherichia	coli		mosaic		119594.0	138.0	0.0	0.0
175	NC_011812	Escherichia	coli		mosaic		72946.0	101.0	1.0	0.009900990099009901
176	NC_011964	Escherichia	coli		mosaic		124705.0	126.0	5.0	0.03968253968253968
180	NC_012209	Yersinia	enterocolitica		static		14662.0	14.0	0.0	0.0
183	NC_012222	Lactobacillus	paracasei		static		14442.0	15.0	0.0	0.0
184	NC_012487	Escherichia	coli		mosaic		168100.0	195.0	1.0	0.005128205128205128
185	NC_012547	Staphylococcus	aureus		mosaic		54000.0	53.0	2.0	0.03773584905660377
186	NC_012556	Enterobacter	cloacae		mosaic		324503.0	313.0	12.0	0.038338658146964855
194	NC_012690	Escherichia	coli		mosaic		148105.0	173.0	10.0	0.057803468208092484
195	NC_012692	Escherichia	coli		mosaic		166530.0	189.0	7.0	0.037037037037037035
197	NC_012885	Aeromonas	hydrophila		mosaic		143963.0	158.0	1.0	0.006329113924050633
199	NC_006877	Acinetobacter	baumannii		mosaic		9540.0	11.0	0.0	0.0
200	NC_005566	Staphylococcus	epidermidis		mosaic		8013.0	11.0	0.0	0.0
201	NC_006827	Enterococcus	faecalis		static		67673.0	57.0	0.0	0.0
205	NC_010283	Bacillus	thuringiensis		static		55712.0	69.0	0.0	0.0
206	NC_010279	Staphylococcus	aureus		static		39041.0	17.0	0.0	0.0
209	NC_007926	Pseudomonas	putida		static		82232.0	84.0	0.0	0.0
210	NC_012944	Escherichia	coli		mosaic		138362.0	119.0	0.0	0.0
211	NC_013175	Escherichia	coli		mosaic		114222.0	117.0	0.0	0.0
214	NC_004846	Haemophilus	influenzae		mosaic		32433.0	33.0	0.0	0.0
217	NC_008443	Borrelia	burgdorferi		static		8303.0	11.0	0.0	0.0
218	NC_008612	Photobacterium	damselae		mosaic		150157.0	187.0	3.0	0.016042780748663103
219	NC_011641	Klebsiella	pneumoniae		mosaic		68018.0	75.0	2.0	0.02666666666666667
221	NC_012886	Escherichia	coli		mosaic		52637.0	70.0	3.0	0.04285714285714286
230	NC_009841	Bacillus	thuringiensis		mosaic		67159.0	73.0	0.0	0.0
234	NC_010419	Staphylococcus	aureus		mosaic		35380.0	44.0	5.0	0.11363636363636363
237	NC_010880	Enterococcus	faecium		static		21344.0	34.0	0.0	0.0
240	NC_010901	Lactococcus	lactis		mosaic		64980.0	62.0	0.0	0.0
242	NC_011383	Klebsiella	pneumoniae		mosaic		70655.0	87.0	2.0	0.022988505747126436
243	NC_011385	Klebsiella	pneumoniae		mosaic		75617.0	92.0	7.0	0.07608695652173914
244	NC_002630	Enterococcus	faecalis		mosaic		36804.0	49.0	0.0	0.0
245	NC_013120	Escherichia	coli		mosaic		93732.0	95.0	2.0	0.021052631578947368
246	NC_013122	Escherichia	coli		mosaic		117536.0	141.0	6.0	0.0425531914893617
247	NC_013176	Pseudomonas	putida		mosaic		76494.0	70.0	0.0	0.0
249	NC_013503	Escherichia	coli		mosaic		42644.0	58.0	0.0	0.0
250	NC_013507	Escherichia	coli		mosaic		67094.0	99.0	1.0	0.010101010101010102
251	NC_013533	Enterococcus	faecalis		static		80600.0	89.0	0.0	0.0
253	NC_013542	Klebsiella	pneumoniae		mosaic		70057.0	95.0	1.0	0.010526315789473684
254	NC_013543	Lactobacillus	paracasei		static		19882.0	23.0	0.0	0.0
256	NC_013545	Sinorhizobium	meliloti		mosaic		144170.0	160.0	0.0	0.0
258	NC_013550	Staphylococcus	aureus		mosaic		17334.0	14.0	3.0	0.21428571428571427
261	NC_013653	Staphylococcus	aureus		mosaic		41715.0	42.0	3.0	0.07142857142857142
262	NC_013728	Escherichia	coli		mosaic		111481.0	110.0	5.0	0.045454545454545456
267	NC_013950	Klebsiella	pneumoniae		mosaic		94219.0	115.0	2.0	0.017391304347826087
269	NC_014016	Klebsiella	pneumoniae		mosaic		113637.0	121.0	2.0	0.01652892561983471
270	NC_014105	Neisseria	gonorrhoeae		static		42004.0	48.0	1.0	0.020833333333333332
271	NC_014111	Xylella	fastidiosa		static		25105.0	33.0	0.0	0.0
272	NC_014113	Xylella	fastidiosa		static		24372.0	30.0	0.0	0.0
273	NC_014124	Pseudomonas	putida		mosaic		128921.0	112.0	0.0	0.0
275	NC_014208	Klebsiella	oxytoca		mosaic		54641.0	70.0	4.0	0.05714285714285714
276	NC_014234	Escherichia	coli		mosaic		74575.0	73.0	0.0	0.0
277	NC_014312	Klebsiella	pneumoniae		mosaic		151188.0	156.0	5.0	0.03205128205128205
280	NC_014368	Klebsiella	pneumoniae		mosaic		79307.0	83.0	7.0	0.08433734939759036
281	NC_014382	Escherichia	coli		mosaic		73801.0	53.0	1.0	0.018867924528301886
282	NC_014383	Escherichia	coli		mosaic		92970.0	31.0	1.0	0.03225806451612903
283	NC_014385	Escherichia	coli		mosaic		144871.0	126.0	1.0	0.007936507936507936
284	NC_014475	Enterococcus	faecalis		mosaic		48365.0	40.0	7.0	0.175
285	NC_014477	Escherichia	coli		mosaic		93629.0	100.0	1.0	0.01
287	NC_014496	Listeria	grayi		static		79249.0	88.0	0.0	0.0
288	NC_014615	Escherichia	coli		mosaic		165657.0	168.0	10.0	0.05952380952380952
291	NC_014726	Enterococcus	faecalis		mosaic		85068.0	98.0	9.0	0.09183673469387756
293	NC_014843	Escherichia	coli		mosaic		110416.0	119.0	6.0	0.05042016806722689
294	NC_015055	Yersinia	pestis		mosaic		16030.0	26.0	0.0	0.0
295	NC_015154	Klebsiella	pneumoniae		mosaic		95626.0	80.0	2.0	0.025
298	NC_015256	Tetragenococcus	muriaticus		mosaic		21516.0	16.0	0.0	0.0
299	NC_015432	Staphylococcus	saprophyticus		static		66104.0	45.0	0.0	0.0
300	NC_015472	Escherichia	coli		mosaic		21423.0	28.0	0.0	0.0
301	NC_015599	Escherichia	coli		mosaic		54205.0	61.0	2.0	0.03278688524590164
303	NC_005246	Erwinia	amylovora		static		60145.0	67.0	0.0	0.0
304	NC_007682	Escherichia	coli		mosaic		56634.0	60.0	5.0	0.08333333333333333
305	NC_008259	Enterococcus	faecium		static		7383.0	10.0	0.0	0.0
308	NC_010282	Bacillus	thuringiensis		static		12459.0	14.0	0.0	0.0
