	target name	taccession	query name	qaccession	fE-value	fscore	fbias	dE-value	dscore	dbias	exp	reg	clu	ov	env	dom	rep	inc	description of target	qlen	plasmid ID
0	CTXM	RF0059	ref|NP_774964.1|	-	4.699999999999998e-193	632.8	4.5	5.199999999999998e-193	632.6	4.5	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	ES-beta-lactamase (plasmid) [Citrobacter freundii]	291.0	NC_004464
2	TEM	RF0126	ref|NP_775035.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	BlaTEM1 (plasmid) [Citrobacter freundii]	286.0	NC_004464
4	AAC3	RF0002	ref|NP_775040.1|	-	3.3999999999999996e-146	478.6	0.4	3.899999999999999e-146	478.4	0.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside acetyltransferase (plasmid) [Citrobacter freundii]	286.0	NC_004464
5	ANT3	RF0027	ref|NP_775045.1|	-	2.499999999999999e-168	550.9	0.8	2.7999999999999993e-168	550.7	0.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein (plasmid) [Citrobacter freundii]	263.0	NC_004464
7	16S_rRNA_methyltrans	RF0001	ref|NP_775050.1|	-	8.799999999999998e-125	408.2	6.0	9.899999999999997e-125	408.1	6.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	NbrB (plasmid) [Citrobacter freundii]	257.0	NC_004464
9	ABC_efflux	RF0007	ref|NP_775053.1|	-	1e-85	281.2	3.8	1.2999999999999998e-85	280.9	3.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	macrolide efflux protein (plasmid) [Citrobacter freundii]	491.0	NC_004464
10	Chlor_Acetyltrans_CAT	RF0050	ref|NP_073222.1|	-	3.599999999999999e-87	284.5	1.0	3.8999999999999994e-87	284.4	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	chloramphenicol O-acetyltransferase (plasmid) [Mannheimia haemolytica]	213.0	NC_002637
11	APH3''	RF0172	ref|NP_073223.1|	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin phosphotransferase (plasmid) [Mannheimia haemolytica]	267.0	NC_002637
13	tet_MFS_efflux	RF0134	ref|YP_227612.1|	-	8.499999999999998e-113	370.0	31.8	9.599999999999998e-113	369.8	31.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline efflux protein (plasmid) [Mannheimia haemolytica]	458.0	NC_006976
15	Chlor_Acetyltrans_CAT	RF0050	ref|YP_025721.1|	-	2.1999999999999997e-85	278.6	5.8	2.6999999999999996e-85	278.4	5.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	chloramphenicol acetyltransferase (plasmid) [Escherichia coli]	219.0	NC_005923
16	TetA	RF0127	ref|YP_025722.1|	-	3.3999999999999984e-212	697.3	23.9	3.8999999999999984e-212	697.1	23.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	TetA (plasmid) [Escherichia coli]	424.0	NC_005923
19	APH3''	RF0172	ref|NP_957532.1|	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin phosphotransferase (plasmid) [Escherichia coli]	267.0	NC_005324
21	APH6	RF0034	ref|NP_957533.1|	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin phosphotransferase (plasmid) [Escherichia coli]	278.0	NC_005324
22	Chlor_Efflux_Pump	RF0051	ref|YP_232872.1|	-	5.999999999999999e-169	555.2	48.5	6.699999999999998e-169	555.1	48.5	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	florfenicol-chloramphenicol exporter (plasmid) [Pasteurella multocida]	404.0	NC_006994
23	TetM-TetW-TetO-TetS	RF0133	ref|NP_862291.1|	-	0.0	1418.3	0.9	0.0	1418.2	0.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline resistance protein TetM (plasmid) [Lactobacillus plantarum]	639.0	NC_004944
25	VIM	RF0162	ref|YP_001427370.1|	-	3.5999999999999987e-159	521.0	1.8	3.9999999999999984e-159	520.8	1.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	metallo-beta-lactamase VIM-7 (plasmid) [Pseudomonas aeruginosa]	265.0	NC_009739
29	TetA	RF0127	ref|NP_957551.1|	-	1.899999999999999e-212	698.2	25.7	2.0999999999999994e-212	698.0	25.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	TetA (plasmid) [Escherichia coli]	399.0	NC_005327
32	ClassD	RF0056	ref|NP_957554.1|	-	1.9e-85	279.0	4.1	2.2999999999999997e-85	278.7	4.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	hypothetical protein pC15-1a_008 (plasmid) [Escherichia coli]	276.0	NC_005327
33	AAC6-Ib	RF0005	ref|NP_957555.1|	-	1.7999999999999997e-130	424.8	0.1	1.9999999999999994e-130	424.7	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	AAC(6')-Ib (plasmid) [Escherichia coli]	199.0	NC_005327
34	AAC3	RF0002	ref|NP_957558.1|	-	2.0999999999999995e-146	479.3	0.6	2.2999999999999996e-146	479.2	0.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	AAC(3)-II (plasmid) [Escherichia coli]	286.0	NC_005327
35	CTXM	RF0059	ref|NP_957562.1|	-	1.4999999999999994e-192	631.1	4.4	1.6999999999999992e-192	631.0	4.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	hypothetical protein pC15-1a_016 (plasmid) [Escherichia coli]	291.0	NC_005327
37	TEM	RF0126	ref|NP_957565.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	hypothetical protein pC15-1a_020 (plasmid) [Escherichia coli]	286.0	NC_005327
39	ABC_efflux	RF0007	ref|YP_308793.1|	-	1.8999999999999995e-83	273.7	0.8	2.9999999999999994e-83	273.1	0.8	1.3	1.0	0.0	0.0	1.0	1.0	1.0	1.0	hemolysin B (plasmid) [Escherichia coli]	705.0	NC_007365
40	msbA	RF0107	ref|NP_943393.1|	-	3.799999999999998e-212	698.4	1.8	3.3999999999999993e-112	368.3	0.0	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	IroC (plasmid) [Klebsiella pneumoniae CG43]	1241.0	NC_005249
42	ANT3	RF0027	ref|NP_065311.1|	-	3.799999999999999e-167	547.0	1.1	4.299999999999999e-167	546.8	1.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein (plasmid) [Escherichia coli]	262.0	NC_002525
44	Chlor_Acetyltrans_CAT	RF0050	ref|NP_941181.1|	-	3.0999999999999997e-85	278.2	6.3	3.6999999999999987e-85	277.9	6.3	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	chloramphenicol acetyltransferase (plasmid) [Serratia marcescens]	219.0	NC_005211
45	APH3	RF0033	ref|NP_941183.1|	-	4.199999999999999e-146	478.1	0.0	4.7999999999999985e-146	478.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside 3'-phosphotransferase (plasmid) [Serratia marcescens]	271.0	NC_005211
47	TetA-B	RF0128	ref|NP_941291.1|	-	4.1999999999999984e-278	914.5	30.6	4.699999999999998e-278	914.4	30.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline resistance protein (plasmid) [Serratia marcescens]	401.0	NC_005211
50	APH3''	RF0172	ref|NP_940690.1|	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside phosphotransferase (plasmid) [Pseudomonas syringae pv. syringae]	267.0	NC_005205
52	APH6	RF0034	ref|NP_940691.1|	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside phosphotransferase (plasmid) [Pseudomonas syringae pv. syringae]	278.0	NC_005205
53	ANT	RF0166	ref|NP_863621.1|	-	3.399999999999999e-80	262.1	0.0	3.799999999999999e-80	261.9	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside adenyltransferase AadD (plasmid) [Staphylococcus aureus]	256.0	NC_005024
54	APH3	RF0033	ref|NP_863643.1|	-	1.8e-18	59.8	0.1	3e-18	59.1	0.1	1.3	1.0	0.0	0.0	1.0	1.0	1.0	1.0	bifunctional aminoglycoside modifying enzyme AacA-AphD (plasmid) [Staphylococcus aureus]	479.0	NC_005024
