	locus	Genus	Species	environment	character	IS26	length	CDS	gene counts	Gene_proportion
1	NC_004464	Citrobacter	freundii		mosaic		89468.0	104.0	10.0	0.09615384615384616
26	NC_006278	Lactobacillus	plantarum		static		7222.0	10.0	1.0	0.1
31	NC_001949	Lactococcus	lactis		mosaic		60232.0	63.0	4.0	0.06349206349206349
36	NC_009353	Magnetospirillum	gryphiswaldense		static		35803.0	38.0	1.0	0.02631578947368421
37	NC_009739	Pseudomonas	aeruginosa		mosaic		24179.0	29.0	3.0	0.10344827586206896
38	NC_005327	Escherichia	coli		mosaic		92353.0	100.0	16.0	0.16
39	NC_003350	Pseudomonas	putida		mosaic		116580.0	139.0	9.0	0.06474820143884892
40	NC_004999	Pseudomonas	putida		mosaic		83042.0	90.0	5.0	0.05555555555555555
41	NC_007365	Escherichia	coli		mosaic		165548.0	155.0	15.0	0.0967741935483871
42	NC_005249	Klebsiella	pneumoniae		mosaic		219385.0	251.0	32.0	0.12749003984063745
43	NC_006323	Yersinia	pestis		mosaic		137036.0	146.0	10.0	0.0684931506849315
44	NC_008275	Pseudomonas	putida		mosaic		107929.0	86.0	8.0	0.09302325581395349
45	NC_002525	Escherichia	coli		mosaic		75582.0	91.0	3.0	0.03296703296703297
46	NC_005211	Serratia	marcescens		mosaic		274762.0	290.0	15.0	0.05172413793103448
47	NC_005205	Pseudomonas	syringae		mosaic		72601.0	55.0	7.0	0.12727272727272726
48	NC_004564	Yersinia	enterocolitica		mosaic		66591.0	73.0	5.0	0.0684931506849315
49	NC_005024	Staphylococcus	aureus		mosaic		46445.0	44.0	8.0	0.18181818181818182
50	NC_005250	Vibrio	anguillarum		mosaic		65009.0	57.0	12.0	0.21052631578947367
51	NC_008357	Pseudomonas	aeruginosa		mosaic		89147.0	97.0	12.0	0.12371134020618557
52	NC_006671	Escherichia	coli		mosaic		101375.0	119.0	7.0	0.058823529411764705
53	NC_008460	Escherichia	coli		mosaic		120730.0	163.0	30.0	0.18404907975460122
55	NC_008613	Photobacterium	damselae		mosaic		131520.0	161.0	6.0	0.037267080745341616
56	NC_006277	Agrobacterium	tumefaciens		mosaic		44420.0	36.0	1.0	0.027777777777777776
57	NC_002377	Agrobacterium	tumefaciens		mosaic		194140.0	157.0	4.0	0.025477707006369428
59	NC_009139	Yersinia	ruckeri		mosaic		158038.0	185.0	10.0	0.05405405405405406
60	NC_009435	Lactococcus	lactis		mosaic		68319.0	63.0	18.0	0.2857142857142857
