	locus	Genus	Species	environment	character	IS26	length	CDS
0	NC_006130	Streptococcus	pyogenes		static		3351.0	3.0
1	NC_004464	Citrobacter	freundii		mosaic		89468.0	104.0
2	NC_006427	Enterococcus	faecium		static		2235.0	2.0
3	NC_001370	Lactobacillus	plantarum		static		2140.0	1.0
4	NC_002810	Streptococcus	mutans		static		5658.0	4.0
5	NC_004965	Sinorhizobium	meliloti		static		7212.0	8.0
6	NC_000906	Lactococcus	lactis		static		8506.0	7.0
7	NC_005010	Enterococcus	faecalis		static		9328.0	9.0
8	NC_004562	Staphylococcus	aureus		static		2650.0	2.0
9	NC_002637	Mannheimia	haemolytica		mosaic		4992.0	7.0
10	NC_005565	Staphylococcus	aureus		static		1288.0	1.0
11	NC_006976	Mannheimia	haemolytica		mosaic		5317.0	4.0
12	NC_002092	Xylella	fastidiosa		static		1296.0	3.0
13	NC_002130	Riemerella	anatipestifer		static		5609.0	3.0
14	NC_006997	Bifidobacterium	longum		mosaic		3682.0	2.0
15	NC_005923	Escherichia	coli		mosaic		6464.0	4.0
16	NC_005324	Escherichia	coli		mosaic		6222.0	8.0
17	NC_004958	Streptococcus	thermophilus		static		4230.0	4.0
18	NC_006994	Pasteurella	multocida		mosaic		10874.0	5.0
19	NC_002487	Escherichia	coli		static		5847.0	7.0
20	NC_004652	Lactococcus	lactis		static		7302.0	5.0
21	NC_002119	Escherichia	coli		static		9957.0	8.0
22	NC_001537	Escherichia	coli		static		3895.0	2.0
23	NC_004944	Lactobacillus	plantarum		static		10877.0	9.0
24	NC_005098	Streptococcus	thermophilus		static		2911.0	5.0
25	NC_005322	Streptococcus	thermophilus		static		8144.0	6.0
26	NC_006278	Lactobacillus	plantarum		static		7222.0	10.0
27	NC_002145	Escherichia	coli		static		1549.0	1.0
28	NC_005019	Escherichia	coli		static		6293.0	7.0
29	NC_000937	Streptococcus	thermophilus		static		9531.0	5.0
30	NC_000938	Streptococcus	thermophilus		static		3498.0	2.0
31	NC_001949	Lactococcus	lactis		mosaic		60232.0	63.0
32	NC_004960	Lactococcus	lactis		static		7858.0	7.0
33	NC_003893	Lactobacillus	plantarum		static		2061.0	1.0
34	NC_003894	Lactobacillus	plantarum		mosaic		9253.0	9.0
35	NC_009034	Bacillus	thuringiensis		static		5475.0	7.0
36	NC_009353	Magnetospirillum	gryphiswaldense		static		35803.0	38.0
37	NC_009739	Pseudomonas	aeruginosa		mosaic		24179.0	29.0
38	NC_005327	Escherichia	coli		mosaic		92353.0	100.0
39	NC_003350	Pseudomonas	putida		mosaic		116580.0	139.0
40	NC_004999	Pseudomonas	putida		mosaic		83042.0	90.0
41	NC_007365	Escherichia	coli		mosaic		165548.0	155.0
42	NC_005249	Klebsiella	pneumoniae		mosaic		219385.0	251.0
43	NC_006323	Yersinia	pestis		mosaic		137036.0	146.0
44	NC_008275	Pseudomonas	putida		mosaic		107929.0	86.0
45	NC_002525	Escherichia	coli		mosaic		75582.0	91.0
46	NC_005211	Serratia	marcescens		mosaic		274762.0	290.0
47	NC_005205	Pseudomonas	syringae		mosaic		72601.0	55.0
48	NC_004564	Yersinia	enterocolitica		mosaic		66591.0	73.0
49	NC_005024	Staphylococcus	aureus		mosaic		46445.0	44.0
50	NC_005250	Vibrio	anguillarum		mosaic		65009.0	57.0
51	NC_008357	Pseudomonas	aeruginosa		mosaic		89147.0	97.0
52	NC_006671	Escherichia	coli		mosaic		101375.0	119.0
53	NC_008460	Escherichia	coli		mosaic		120730.0	163.0
54	NC_008490	Escherichia	coli		mosaic		8985.0	5.0
55	NC_008613	Photobacterium	damselae		mosaic		131520.0	161.0
56	NC_006277	Agrobacterium	tumefaciens		mosaic		44420.0	36.0
57	NC_002377	Agrobacterium	tumefaciens		mosaic		194140.0	157.0
58	NC_001911	Buchnera	aphidicola		static		7768.0	7.0
59	NC_009139	Yersinia	ruckeri		mosaic		158038.0	185.0
60	NC_009435	Lactococcus	lactis		mosaic		68319.0	63.0
61	NC_004998	Escherichia	coli		mosaic		125491.0	141.0
62	NC_007675	Escherichia	coli		mosaic		184501.0	209.0
63	NC_009602	Escherichia	coli		mosaic		121239.0	96.0
64	NC_010076	Bacillus	thuringiensis		mosaic		127923.0	113.0
65	NC_010111	Staphylococcus	aureus		static		4555.0	3.0
66	NC_007772	Clostridium	perfringens		static		70480.0	60.0
67	NC_006828	[Haemophilus]	parasuis		mosaic		5147.0	4.0
68	NC_006829	[Haemophilus]	parasuis		static		9462.0	7.0
69	NC_007928	Staphylococcus	aureus		mosaic		2756.0	2.0
70	NC_007931	Staphylococcus	aureus		static		22787.0	21.0
71	NC_005018	Klebsiella	pneumoniae		static		4196.0	2.0
72	NC_002144	Yersinia	pestis		static		5919.0	12.0
73	NC_002096	Staphylococcus	aureus		static		4118.0	3.0
74	NC_005020	Staphylococcus	aureus		static		2979.0	1.0
75	NC_002635	Bifidobacterium	longum		static		3625.0	3.0
76	NC_006843	Bifidobacterium	longum		static		3624.0	4.0
77	NC_001767	Staphylococcus	aureus		mosaic		4439.0	3.0
78	NC_005015	Klebsiella	pneumoniae		static		7086.0	5.0
79	NC_005567	Bacillus	thuringiensis		mosaic		11365.0	11.0
80	NC_001277	Pediococcus	pentosaceus		static		19515.0	24.0
81	NC_007100	Pseudomonas	aeruginosa		mosaic		57121.0	51.0
82	NC_008356	Staphylococcus	epidermidis		static		2546.0	2.0
83	NC_008487	Escherichia	coli		static		4091.0	2.0
84	NC_008488	Escherichia	coli		static		5219.0	8.0
85	NC_008489	Escherichia	coli		static		7462.0	4.0
86	NC_004981	Lactococcus	lactis		static		2047.0	2.0
87	NC_008597	Escherichia	coli		mosaic		6222.0	9.0
88	NC_004988	Borrelia	burgdorferi		static		16933.0	14.0
89	NC_005243	Staphylococcus	aureus		mosaic		4608.0	5.0
90	NC_005564	Staphylococcus	aureus		mosaic		4397.0	4.0
91	NC_002757	Streptococcus	mutans		static		5640.0	5.0
92	NC_005000	Enterococcus	faecium		mosaic		24873.0	32.0
93	NC_002013	Staphylococcus	aureus		static		2910.0	4.0
94	NC_008768	Enterococcus	faecium		mosaic		39626.0	43.0
95	NC_010113	Vibrio	sp.		static		81413.0	95.0
96	NC_010114	Vibrio	sp.		static		31036.0	32.0
97	NC_010177	Acetobacter	pasteurianus		static		2446.0	3.0
98	NC_003265	Staphylococcus	aureus		static		38211.0	50.0
99	NC_010230	Streptococcus	pyogenes		static		3041.0	3.0
100	NC_010262	Staphylococcus	aureus		mosaic		4442.0	3.0
101	NC_010260	Streptococcus	dysgalactiae		static		3043.0	4.0
102	NC_010330	Enterococcus	faecium		static		6038.0	8.0
103	NC_007190	Thermus	thermophilus		static		10402.0	15.0
104	NC_004429	Escherichia	coli		mosaic		6349.0	8.0
105	NC_007203	Bacillus	thuringiensis		static		6909.0	12.0
106	NC_002773	Shigella	flexneri		static		3179.0	2.0
107	NC_010378	Escherichia	coli		mosaic		51602.0	68.0
108	NC_010409	Escherichia	coli		mosaic		151002.0	150.0
109	NC_010481	Acinetobacter	baumannii		mosaic		29823.0	26.0
110	NC_010426	Staphylococcus	aureus		mosaic		2909.0	2.0
111	NC_010427	Staphylococcus	aureus		mosaic		2907.0	2.0
112	NC_009781	Escherichia	coli		mosaic		5146.0	3.0
113	NC_002147	Agrobacterium	tumefaciens		static		206479.0	195.0
114	NC_010021	Zymomonas	mobilis		static		2749.0	2.0
115	NC_010077	Staphylococcus	aureus		mosaic		34986.0	52.0
116	NC_010099	Burkholderia	cepacia		static		1641.0	1.0
117	NC_003099	Oenococcus	oeni		static		3948.0	3.0
118	NC_008821	Enterococcus	faecium		mosaic		39714.0	41.0
119	NC_001399	Ralstonia	solanacearum		static		6633.0	15.0
120	NC_005570	Yersinia	enterocolitica		static		2682.0	1.0
121	NC_006868	Pasteurella	multocida		static		5198.0	5.0
122	NC_006904	Oenococcus	oeni		static		3926.0	3.0
123	NC_001272	Bacillus	thuringiensis		mosaic		6578.0	2.0
124	NC_006399	Lactobacillus	plantarum		static		2899.0	4.0
125	NC_010616	Staphylococcus	aureus		static		2916.0	3.0
126	NC_010684	Staphylococcus	aureus		mosaic		2531.0	2.0
127	NC_010685	Staphylococcus	aureus		mosaic		2473.0	2.0
128	NC_010686	Staphylococcus	aureus		mosaic		2412.0	2.0
129	NC_010687	Staphylococcus	aureus		mosaic		3011.0	2.0
130	NC_010726	Klebsiella	pneumoniae		mosaic		41723.0	41.0
131	NC_007635	Escherichia	coli		mosaic		98396.0	94.0
132	NC_004959	Lactococcus	lactis		static		10836.0	11.0
133	NC_001774	Pasteurella	multocida		mosaic		5360.0	5.0
134	NC_010851	Streptomyces	sp.		static		54288.0	59.0
135	NC_010857	Bifidobacterium	longum		static		4896.0	3.0
136	NC_010861	Bifidobacterium	longum		static		3680.0	2.0
137	NC_010862	Escherichia	coli		mosaic		101558.0	100.0
138	NC_010870	Klebsiella	pneumoniae		mosaic		269674.0	310.0
139	NC_010885	Escherichia	coli		mosaic		4072.0	2.0
140	NC_010886	Klebsiella	pneumoniae		mosaic		98264.0	90.0
141	NC_010898	Escherichia	coli		static		4995.0	6.0
142	NC_010913	Lactobacillus	paracasei		static		5089.0	4.0
143	NC_010919	Aeromonas	hydrophila		mosaic		45909.0	50.0
144	NC_010929	Agrobacterium	tumefaciens		static		244978.0	223.0
