locus	length
NZ_CP015705	5142
NC_016806	3347
NZ_CP018959	51885
NZ_CP014436	3125
NZ_CP010826	78727
NZ_CP009658	38826
NZ_CP016544	13960
NZ_CP017765	17447
NC_017348	2993
NZ_CP012966	18815
NZ_CP017619	2097
NZ_CP009008	33695
NG_047929	701
NZ_CP016478	4675
NC_003903	356023
NZ_CP006746	137017
NZ_CP017929	113105
NC_019174	4613
NZ_CP010830	215551
NC_015849	3825
NZ_CP009972	70305
NZ_CP013600	752910
NC_015595	123733
NZ_CP013808	50691
NZ_CP015420	102180
NC_013121	64471
NZ_CP013946	179831
NC_015973	4967
NG_047686	764
NZ_CP011065	82288
NC_019243	3878
NC_017327	1633319
NZ_CP015721	14307
NC_022649	5167
NC_019789	556630
NZ_CP014483	69617
NC_019167	5044
NZ_CP012421	18046
NC_010906	2246
NZ_LT667504	8214
NC_010190	6615
NZ_CP019126	119048
NC_010378	51602
NZ_CP011506	113484
NZ_CP007553	321908
NC_015420	52697
NZ_CP014923	13546
NZ_CP007214	197362
NC_004768	10224
NC_019186	5048
NC_007171	8180
NC_011562	31893
NZ_CP018985	5631
NC_006134	44707
NZ_CP005898	2463
NC_024977	96463
NZ_CP015801	30406
NC_019735	44285
NC_019060	6200
NZ_CP018208	4074
NG_047707	674
NC_006463	9322
NZ_CP013010	66496
NC_014475	48365
NC_019044	92290
NZ_CP010574	167664
NG_047305	659
NC_008569	24794
NC_009966	66512
NG_047421	995
NG_047579	848
NZ_CP011933	70055
NC_023278	20269
NC_009136	8285
NZ_CP019908	33304
NZ_CP019139	304
NZ_CP009924	7500
NC_022076	3620
NZ_CP017254	5894
NC_019089	87021
NC_010632	254918
NC_015378	128650
NC_020921	28688
NC_012661	6320
NZ_CP018028	610127
NC_017487	35934
NC_015062	616549
NC_014842	116877
NZ_CP011453	88815
NZ_CP015713	5661
NC_011859	56869
NG_047605	833
NC_008538	115507
NC_020060	216610
NC_017908	56265
NC_015917	27319
NZ_CP006807	142771
NC_007183	81553
NZ_CP006964	8805
NC_004966	20331
NZ_CP012699	93808
NZ_CP015322	948568
NZ_CP019200	34175
NZ_CP015160	212180
NZ_CP018749	27075
NC_010886	98264
NZ_CP016927	72093
NC_013215	1815
NC_010115	37317
NC_022603	64491
NZ_CP014934	37848
NZ_CP007126	8755
NC_019967	287800
NZ_CP005718	6017
NZ_CP008842	204468
NC_013213	3204
NG_049015	976
NZ_CP014614	20026
NC_013963	16492
NC_024987	13999
NG_052145	992
NC_013782	3071
NZ_CP011577	130719
NC_001949	60232
NC_017650	1549
NC_014651	71617
NZ_CP013529	427855
NZ_CP007677	20185
NC_015258	69598
NC_019754	50800
NC_020295	9103
NC_017400	15915
NG_048911	976
NC_006856	138742
NC_018746	117003
NC_014254	163915
NZ_CP019569	14755
NC_017543	366576
NC_010485	8909
NC_005567	11365
NC_007352	22870
NC_004773	11946
NZ_CP015032	244120
NC_018953	9294
NC_010635	69812
NZ_CP019796	48697
NC_012849	273136
NZ_CP013524	343400
NG_047336	986
NZ_CP018446	3559
NZ_AP012543	10775
NZ_CP015221	137595
NC_017923	45361
NC_015148	65774
NC_011779	29758
NZ_CP005682	15002
NC_019017	151932
NC_010579	38297
NZ_CP006028	87120
NC_010922	3957
NZ_CP014764	36707
NZ_CP016366	126697
NC_004850	8140
NC_008273	30017
NG_047631	1250
NC_020915	28257
NC_023916	111741
NG_047414	804
NC_003270	40340
NZ_CP014677	176991
NC_023285	409218
NC_006994	10874
NG_049496	1028
NG_047878	1415
NZ_CP017187	131604
NG_050260	983
NC_017149	182940
NC_020196	3735
NC_011786	60749
NZ_CP013167	3347
NG_048519	1007
NC_019351	22388
NZ_CP018975	95926
NG_050416	686
NC_017339	20730
NZ_CP009356	251408
NZ_CP010095	46979
NZ_CP008900	60388
NC_019989	3692
NZ_CP010398	114848
NZ_CP018441	180027
NC_023323	60043
NZ_CP015179	57268
NC_002101	6959
NZ_CP019608	46963
NZ_CP016085	32598
NZ_CP014904	33270
NZ_CP010009	8279
NC_017797	23530
NZ_CP007750	46448
NZ_CP018283	3498
NZ_CP005854	1919
NZ_CP013512	162302
NC_009651	88582
NZ_CP016035	129085
NZ_CP005777	6197
NC_019886	8576
NZ_CP011122	116245
NZ_CP014980	94034
NC_019136	5687
NC_018882	7635
NC_008712	328237
NC_014015	5031
NC_002112	9014
NC_022879	181920
NC_022883	82213
NZ_CP011945	2096
NC_012412	3614
NZ_CP007178	3125
NC_002096	4118
NC_017189	6758
NZ_CP011603	1916
NG_047918	686
NZ_CP019209	215998
NC_002144	5919
NC_001399	6633
NC_017203	281231
NZ_CP010399	47274
NZ_CP010383	106410
NC_016815	2096125
NZ_CP013772	27957
NC_011917	108379
NC_007365	165548
NC_013793	105029
NG_047573	851
NZ_CP014581	137323
NC_023276	109512
NZ_CP010864	98626
NZ_CP013774	138636
NC_008739	213290
NZ_CP016933	74497
NC_002192	2178
NC_013653	41715
NC_020948	7500
NG_050094	862
NC_032100	93112
NC_020050	431821
NZ_CP010123	214445
NC_013302	3011
NC_024989	21001
NZ_CP009855	111232
NZ_CP018759	114250
NC_019245	4015
NC_007949	360405
NC_016637	11991
NZ_CP016541	70675
NZ_CP016577	2246
NC_013290	20653
NC_012855	389779
NZ_CP003718	37058
NZ_CP018738	5259
NZ_CP012641	203106
NZ_CP014891	55942
NC_007095	8751
NZ_CP010531	133853
NZ_CP004248	2868
NZ_CP014427	3125
NZ_CP019314	78899
NZ_CP007647	219748
NC_015686	191996
NZ_CP013817	60086
NZ_CP014829	1881
NC_017655	5954
NC_019795	1565
NC_006906	9689
NZ_CP018066	230049
NC_016151	6720
NZ_CP015782	30433
NC_014023	164406
NZ_CP010164	29433
NC_008761	58808
NG_048152	1400
NZ_CP015178	4227
NG_047997	1100
NZ_CP015915	114472
NG_049099	1149
NC_019893	54731
NC_025165	3331
NZ_CP015078	71170
NZ_CP018246	95341
NC_012657	9953
NC_012199	53263
NZ_CP005894	1590
NC_012186	28128
NC_001383	1471
NC_021667	171925
NC_004822	4226
NC_004852	24554
NZ_CP005988	27536
NC_004934	96742
NC_002124	1765
NZ_CP014916	45958
NZ_CP009683	34471
NC_003893	2061
NZ_CP009349	359439
NC_002145	1549
NG_048838	1146
NZ_CP010910	17880
NZ_AP014659	212255
NZ_CP010111	253580
NZ_CP015131	142858
NZ_CP018080	205668
NC_013294	27068
NC_022742	88546
NC_022367	3366
NC_004971	21170
NC_025136	74981
NC_015579	192103
NC_010553	301592
NC_002809	5210
NZ_CP014406	4397
NZ_CP004159	7543
NC_017489	8277
NC_018288	65245
NC_010096	5541
NZ_CP013735	27981
NC_023327	168543
NZ_CP018849	92708
NG_047343	992
NC_017104	191799
NC_023058	4445
NC_009793	9294
NC_015409	58295
NG_050549	657
NZ_CP013150	63114
NC_010687	3011
NZ_CP018359	5521
NC_004720	7966
NZ_CP014524	49467
NZ_CP005789	3806
NZ_CP012106	4669
NC_024996	213494
NC_015390	50105
NZ_CP017252	92691
NT_187157	8028
NC_012182	39007
NC_004942	12959
NZ_CP010154	78557
NC_019979	5360
NG_048831	1346
NC_010529	557200
NC_019286	6061
NZ_CP015242	66029
NC_014386	6414
NC_023136	285395
NC_010856	3635
NZ_CP005892	1213
NG_048718	1097
NZ_CP019324	28011
NC_013776	2334
NC_016900	4255
NC_010855	2251
NC_012131	27367
NC_017332	3011
NT_187162	3566
NC_011511	3679
NZ_CP015879	370338
NC_015872	35947
NC_021186	7777
NC_004949	18291
NC_012246	28234
NZ_CP018443	50611
NZ_CP009680	8438
NG_049335	813
NC_011314	30807
NZ_CP004243	9227
NZ_CP007798	163159
NZ_CP013945	57427
NG_048011	731
NC_012170	27775
NC_017143	191427
NC_011311	83540
NZ_CP013267	73561
NZ_CP018968	44320
NZ_CP012642	14623
NZ_CP013779	165427
NZ_CP019168	77105
NZ_CP013174	1844
NC_020817	58317
